"category","sub_category","product_name","revenue","profit","profit_margin"
"Technology","Machines","Cubify CubeX 3D Printer Double Head Print","11099.96","-8880","-80.00"
"Technology","Machines","Lexmark MX611dhe Monochrome Laser Printer","16829.90","-4590","-27.27"
"Technology","Machines","Cubify CubeX 3D Printer Triple Head Print","7999.98","-3840","-48.00"
"Furniture","Tables","Chromcraft Bull-Nose Wood Oval Conference Tables & Bases","9917.64","-2876","-29.00"
"Furniture","Tables","Bush Advantage Collection Racetrack Conference Table","9544.73","-1934","-20.27"
"Office Supplies","Binders","GBC DocuBind P400 Electric Binding System","17965.07","-1878","-10.45"
"Technology","Machines","Cisco TelePresence System EX90 Videoconferencing Unit","22638.48","-1811","-8.00"
"Office Supplies","Supplies","Martin Yale Chadless Opener Electric Letter Opener","16656.20","-1299","-7.80"
"Furniture","Tables","Balt Solid Wood Round Tables","6518.75","-1201","-18.42"
"Furniture","Tables","BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables","1706.25","-1148","-67.31"
