"category","sub_category","product_name","revenue","profit","profit_margin"
"Technology","Copiers","Canon imageCLASS 2200 Advanced Copier","61599.82","25200","40.91"
"Office Supplies","Binders","Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind","27453.38","7753","28.24"
"Technology","Copiers","Hewlett Packard LaserJet 3310 Copier","18839.69","6984","37.07"
"Technology","Copiers","Canon PC1060 Personal Laser Copier","11619.83","4571","39.34"
"Technology","Accessories","Logitech G19 Programmable Gaming Keyboard","13756.54","4425","32.17"
"Technology","Machines","HP Designjet T520 Inkjet Large Format Printer - 24 Color","18374.90","4095","22.29"
"Technology","Machines","Ativa V4110MDD Micro-Cut Shredder","7699.89","3773","49.00"
"Technology","Machines","3D Systems Cube Printer  2nd Generation  Magenta","14299.89","3718","26.00"
"Office Supplies","Binders","Ibico EPK-21 Electric Binding System","15875.92","3345","21.07"
"Technology","Machines","Zebra ZM400 Thermal Label Printer","6965.70","3344","48.00"
